    0.00     0.01    -1.61    -0.32     0.24     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.15    -0.61     0.89     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00    -1.06     0.26     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00     0.00     1.51     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00     0.00     0.00     0.00     1.26    -0.24     0.23     0.99     1.21
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.31    -0.85    -0.74    -2.34
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.29     1.38    -0.45
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.29     0.29
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.46
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
