Original Atom Name -> New Atom Name
CORE
C014 C425
F017 F426
F016 F427
F015 F428

SITE 1 site1_sub29 (from 28)
C006 C429
H031 H430
C005 C431
H030 H432
C004 C433
C025 C434
F026 F435
C024 C436
H044 H437
C002 C438
O003 O439
C001 C440
H027 H441
H028 H442
H029 H443

SITE 1 site1_sub30 (from 29)
C009 C444
H034 H445
C010 C446
H035 H447
C011 C448
C016 C449
C018 C450
H036 H451
F017 F452
C012 C453
F015 F454
F014 F455
F013 F456

SITE 1 site1_sub31 (from 30)
C009 C457
H034 H458
C010 C459
H035 H460
C011 C461
C013 C462
C018 C463
H036 H464
C014 C465
F017 F466
F016 F467
F015 F468
CL012 Cl0I
LP1 LP0J

SITE 1 site1_sub32 (from 32)
C009 C469
H034 H470
C010 C471
H035 H472
C011 C473
C017 C474
H036 H475
C018 C476
H037 H477
O012 O478
C013 C479
F016 F480
F015 F481
F014 F482


SITE 2 site2_sub1 (from 1)
C018 C483
H035 H484
C019 C485
H036 H486
C020 C487
H037 H488
C021 C489
H038 H490


