    0.00     0.12     0.08     0.18     0.08     0.00     0.00     0.00     0.00     0.00     0.00
    0.07     0.00     0.08     0.06     0.05     0.00     0.00     0.00     0.00     0.00     0.00
    0.03     0.12     0.00     0.03     0.06     0.00     0.00     0.00     0.00     0.00     0.00
    0.07     0.06    -0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
    0.23     0.20     0.23     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00
    0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.01     0.03     0.02    -0.02
    0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.22     0.12     0.14     0.14
    0.00     0.00     0.00     0.00     0.00    -0.02     0.23     0.00     0.06    -0.14     0.07
    0.00     0.00     0.00     0.00     0.00     0.00    -0.03    -0.06     0.00    -0.06    -0.05
    0.00     0.00     0.00     0.00     0.00    -0.08    -0.05    -0.06    -0.08     0.00    -0.16
    0.00     0.00     0.00     0.00     0.00     0.69     0.78     0.71     0.62     0.59     0.00
