,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C022,H038,C016,C017,C018,C019,C020,C021,H037,H036,H034,H033,H032,H031,H029,H030,H028,H027,H026,H025,H024,H023
1,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C022,H038,C016,C017,C018,C019,C020,C021,H037,H036,H034,H033,H032,H031,H029,H030,H028,H027,H026,H025,H024,H023
2,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C023,H041,C016,C017,C018,C019,C021,C022,H040,H039,H035,H034,H033,H032,H030,H031,H029,H028,H027,H026,H025,H024
3,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C024,H044,C016,C017,C018,C019,C022,C023,H043,H042,H036,H035,H034,H033,H031,H032,H030,H029,H028,H027,H026,H025
4,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C025,H047,C016,C017,C018,C019,C023,C024,H046,H045,H037,H036,H035,H034,H032,H033,H031,H030,H029,H028,H027,H026
5,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C026,H050,C016,C017,C018,C019,C024,C025,H049,H048,H038,H037,H036,H035,H033,H034,H032,H031,H030,H029,H028,H027
6,C001,C002,C003,C004,C005,C006,C007,O008,C009,N010,C011,N012,C013,N014,C015,C026,H041,C016,C017,C018,C019,C024,C025,H040,H039,H038,H037,H036,H035,H033,H034,H032,H031,H030,H029,H028,H027
